"libelle";"code";"groupe_famille_libelle"
"VETERINAIRES";"2000";"Grand Public"
"SPECIALITES PUBLIQUES";"1000";"Grand Public"
"SPECIALITES HOPITAL";"1100";"Grand Public"
"PART 1/3 PAYANT";"1900";"Grand Public"
"PARFUMERIE LOCALE";"3000";"Grand Public"
"PARFUMERIE FRANCE";"3100";"Grand Public"
"ORTHOPEDIE";"4000";"Grand Public"
"LAITS/ FARINES/ DIETETIQUE INF.";"5000";"Grand Public"
"HOMEOPATHIE";"1400";"Grand Public"
"GENERIQUES";"1300";"Grand Public"
"DIVERS";"9000";"Grand Public"
"DIETETIQUE ADULTE";"6000";"Grand Public"
"DECONDITIONNES";"1200";"Grand Public"
"CHIMIQUES";"7000";"Grand Public"
"ACCESSOIRES";"8000";"Grand Public"
