"libelle";"code";"exclude"
"SPEC.HOMEO&OLIGOSOL";"HO000";"1"
"SOLUTES MASSIFS /HOSPITALIERS";"HP000";"1"
" HYGIENE/ROGER CAVA.";"HYG01";"1"
"GENERIQ & DECONDITION.";"GE000";"1"
"HYGIENE/PARODENTIE";"HYG5";"1"
"PANNEAU PDTS HYGIENE";"HYGI0";"1"
"SAVONS";"HYG05";"1"
"HYGIENE/INTIME";"HYG4";"1"
"DIETETIQUE/FOREVER";"DIET1";"1"
"TIROIRS AMP.INJECT.";"INJ00";"1"
"BEBE/LAITS MATERNISES";"LA000";"1"
"LIGATURES-TIROIRS";"LIG00";"1"
"PANNEAU MEDIC.FAMIL.";"MDFA0";"1"
"MEDIC.FRANCE/ANS";"MDOSS";"1"
"PANN.PDUITS MINCEUR";"MIN00";"1"
"NON DISPONIBLES";"NDISP";"1"
"HOMEOPATHIE/GRANULES";"GR000";"1"
"PDUITS OLIGOSOL";"OLIG0";"1"
"TIROIRS PDUITS O.R.L";"ORL00";"1"
"OSTEOSYNTHESE";"OSTEOS";"1"
"TIR.OVULE& SPERMICIDES";"OVU00";"1"
"LIGNE HOMME";"P0010";"1"
"SOINS CORPORELS";"P0011";"1"
"COSMETIQUE BEBE 1";"P0012";"1"
"COSMETIQUE BEBE 2";"P0013";"1"
"SOINS VISAGE CLARINS";"P2000";"1"
"BEBE";"P0014";"1"
"PARFUMS PANNEAU 1";"P3000";"1"
"PARFUMS PANNEAU 2";"P4000";"1"
"PARFUMS PANNEAU 3";"P5000";"1"
"PANNEAU PARFUM 4";"P6000";"1"
"DERMO COSMETIQUE 0";"P7000";"1"
"DERMO COSMETIQUE 1";"P8000";"1"
"DERMO COSMETIQUE 2";"P9000";"1"
"PRODUIT CAPILLAIRE";"PCAPI";"1"
"CHICCO/BEBE";"PCHIC";"1"
"AUTRES PDTS DIET.ADULT";"PD000";"1"
"PETITS POTS";"PETPO";"1"
"PRESENTOIR LUC ET LEA";"PLLEA";"1"
"TIROIR MAQUIL.CLARINS";"PO000";"1"
"CLARINS SOINS CORPS";"P1000";"1"
"TIROIRS POMMADES";"POM00";"1"
"KL DUC DERCOS ULTREX";"PP011";"1"
"VICHY NIVEA CR DEOD";"PQ012";"1"
"PRESERVATIFS";"PRES00";"1"
"BIODERMA & AUTRES";"PR013";"1"
"PSYCHOTROPES";"PSY00";"1"
"PRESENT.TERRAILLON";"PTERR";"1"
"TIR.TEST/BAND.REACT.";"REACT";"1"
"RESERVE PARFUMERIE";"RES01";"1"
"SERING/AIG/DIVERS";"SAD00";"1"
"SERVIET/COUCHES JET.";"SE000";"1"
"SIROPS";"SP000";"1"
"SPEC.DECONDITIONNES";"SPDEC";"1"
"PDUITS SS SURVEILLANCE";"SS000";"1"
"TIROIRS SUPPO.CANULES";"SUP00";"1"
"TIROIRS TETINES";"T0002";"1"
"MEDIC.TABL.A";"TA000";"1"
"MEDIC.TABL.B(STUP.)";"TB000";"1"
"MEDIC.TABL.C";"TC000";"1"
"TISANES";"TI000";"1"
"PANNEAU VETO.ANIMAUX";"V1000";"1"
"PANNEAU VOLAILLE";"V2000";"1"
"VETO:PRESENTATION";"V3000";"1"
"SERUMS/VACCINS HUMAINS";"VH000";"1"
"RESERV.VETO PHCIE";"VR100";"1"
"RESERV.VETO CLIENTS";"VR200";"1"
"VACCINS VETO";"VV000";"1"
"TEINTURES MERES";"TM000";"1"
"UBIGEN GENERIQ";"UBI00";"1"
"ACCESSOIRES FRANCE";"8050";"1"
"AMPOULES BUVABLES";"AB000";"1"
"ACCESS.PTS MAT.CHIR.";"AC000";"1"
"PRODUITS ARKO ET PHYTOTHERAPIE";"ARK00";"1"
"ANTISEPTIQUES";"ATSEP";"1"
"AUTRES MEDICAMENTS";"AUMED";"1"
"BANDE SPARA COMPRESS";"BACSP";"1"
"BEBE/ACCESS";"BB000";"1"
"BEBE/ACCESS 200";"BB200";"1"
"BEBE/PETITS POTS";"BB300";"1"
"PRESENTOIR BEBISOL";"BBSOL";"1"
"TIROIR BAINS-BOUCHE";"BO000";"1"
"PDUITS CONDITIONNES";"CD000";"1"
"CONDITION. HOPITALIER";"CH000";"1"
"COMPTOIR PARFUMERIE";"CPARF";"1"
"PDUITS AU COMPTOIR";"CPT00";"1"
"TIR.COLLYRES/PDE OPHTA";"CY000";"1"
"HOMEOPATHIE/DOSES";"DO000";"1"
"PRODUITS EN DEPOT VENTE";"DPAV0";"1"
"BEBE/FARINES";"FA000";"1"
"HUILES ESSENTIELLES";"HE000";"1"
"HYGIENE/SPLAT";"HYG3";"1"
"HYGIENE/BUCCALE";"HYG2";"1"
"TETINES";"TETINES";"1"
