id;libelle;ref_paiement;lieux
1;application;Burkina Faso concept;Analyst
2;platforms structure Usability;transitional Tonga system;Latvia alarm
3;Chips multi-byte;Buckinghamshire Skyway;Specialist hacking
4;Prairie Rubber purple;deposit Philippine Peso navigate;Concrete Cross-platform SDD
5;optical Brand Nuevo Sol;Checking Account infrastructures;Group Savings Account Awesome Rubber Keyboard
6;Fish Principal Gambia;Metrics;revolutionary redundant Group
7;vortals;Turkish Lira backing up Gorgeous Rubber Bacon;Kenyan Shilling Incredible generate
8;index;sky blue Wisconsin Licensed Frozen Gloves;Kids input
9;mobile cross-platform index;hacking Cambridgeshire California;system
10;Checking Account Executive Bolivia;indigo Cotton card;wireless Wooden
