id;code;libelle;status
1;Facilitator value-added;Pants;LIVRE
2;Customizable Fantastic Cotton Shoes deposit;pink Auto Loan Account;PASSE
3;Intuitive upward-trending;PCI;SUGGESTION
4;East Caribbean Dollar networks;Incredible Plastic Cheese invoice overriding;ENTRAITEMENT
5;Future SDD compressing;sexy Stravenue;LIVRE
6;Port River Tactics;programming Director Chair;PASSE
7;Wooden RSS Metal;hybrid Missouri;ACTIVE
8;bluetooth;Grass-roots fuchsia;ACTIVE
9;salmon Central;Generic Steel Salad quantifying Direct;LIVRE
10;Cayman Islands Dollar PNG;Implemented cross-platform;ENATTENTE
