id;code;libelle;status
1;intuitive Rustic;Monaco middleware Somali Shilling;NON_LIVRE
2;bleeding-edge RSS;systems Iceland Ridges;LIVRE
3;capability Small Wooden Tuna invoice;open-source;SUGGESTION
4;Response firewall Ukraine;Gloves;VALIDE
5;calculate Wells Rubber;Tactics orchid;PASSE
6;program bandwidth 24 hour;Agent web-readiness supply-chains;ENTRAITEMENT
7;invoice;Virginia;DESACTIVE
8;real-time;purple;ENTREESTOCT
9;Corporate national next generation;Brand Implementation reinvent;ENATTENTE
10;Rustic Frozen Towels lavender New Caledonia;Steel;LIVRE
