id;code;jourcouverture;moishistorique;datebutoir;dateextrapolation;seuil_cmde;cofficientpmd;type_optimisation
1;Savings Account Division;32623;85763;51367;57800;true;false;MENSUEL
2;Ergonomic Concrete Chair;78914;4135;80346;10648;true;true;MENSUEL
3;Fish payment Small Fresh Gloves;99886;11786;38451;51096;false;false;MENSUEL
4;Licensed encoding Compatible;63790;94595;52656;69172;true;true;MENSUEL
5;interfaces PCI Multi-channelled;21639;86130;57977;65679;false;false;MENSUEL
6;foreground input;91622;7851;99342;75954;true;false;PONDERATION
7;calculating;84171;36875;47603;64051;false;true;PONDERATION
8;array;21316;97882;12893;38242;true;true;MENSUEL
9;Internal;83730;3182;69570;34835;true;true;PONDERATION
10;EXE bypassing Berkshire;92069;35088;57650;42730;false;true;PONDERATION
