id;created_at;updated_at;num;num_ref;montant_cmd;montant_tva;montant_ht;montant_ttc;montant_regl;montant_restant;date_regl;end_date;date_livraison;statut_facture;status;type
1;2020-05-31T07:15:51;2020-05-30T22:45:00;Vermont;card calculating;59840;77157;97545;42697;38038;57402;2020-05-30;2020-05-31;2020-05-31;PAID;COMMANDEENCOURS;COMMANDE
2;2020-05-31T06:18:35;2020-05-31T11:44:08;cohesive Corporate;Automotive Incredible Chief;39990;85176;36484;89526;31057;18149;2020-05-31;2020-05-31;2020-05-31;UNPAID;COMMANDEENCOURS;COMMANDE
3;2020-05-30T19:16:21;2020-05-31T01:31:33;Consultant compress;Ohio end-to-end;42311;72971;64279;8617;57267;82278;2020-05-31;2020-05-31;2020-05-31;HALFPAID;ENTREESTOCK;COMMANDE
4;2020-05-31T12:46:17;2020-05-31T15:39:01;magenta pixel Practical Rubber Towels;Fiji Dollar innovative Malagasy Ariary;37449;39808;89643;77323;8616;58291;2020-05-31;2020-05-30;2020-05-31;HALFPAID;COMMANDE;SUGGESSION
5;2020-05-30T23:52:33;2020-05-31T15:18:55;internet solution moderator;calculate;70896;20144;93192;54596;51982;28114;2020-05-31;2020-05-31;2020-05-31;UNPAID;ENTREESTOCK;SUGGESSION
6;2020-05-30T20:55:23;2020-05-31T08:05:44;bandwidth;Gorgeous Metal Keyboard;53622;51047;13862;45942;91524;26319;2020-05-31;2020-05-30;2020-05-31;HALFPAID;SUGGESSIONAUTOMATIK;COMMANDE
7;2020-05-31T08:37:44;2020-05-30T18:17:05;Generic;mobile array;54974;86281;1037;79858;1804;2018;2020-05-31;2020-05-31;2020-05-31;HALFPAID;SUGGESSIONMANNUEL;SUGGESSION
8;2020-05-31T07:36:45;2020-05-31T00:47:17;virtual deposit;transmit SMS;91766;73331;96706;97719;78242;77341;2020-05-31;2020-05-31;2020-05-31;HALFPAID;COMMANDE;COMMANDE
9;2020-05-31T06:00:59;2020-05-31T04:32:31;auxiliary Lead Realigned;SMTP XML Facilitator;55160;49743;42935;14038;90421;74017;2020-05-31;2020-05-31;2020-05-31;HALFPAID;SUGGESSIONMANNUEL;SUGGESSION
10;2020-05-31T06:50:03;2020-05-31T02:58:38;Chicken;Fiji;84539;2007;8813;39345;45204;67304;2020-05-30;2020-05-30;2020-05-31;UNPAID;ENTREESTOCK;COMMANDE
