id;montant_cmd;prix_paf_cmd;prix_uni_cmd;qtecmde;qterecu;qte_init;qtemaquant;qtegratuite;montant_bon;prix_paf_bon;prix_uni_bon;peremption;date_fabrication;created_at;updated_at;status;produit_id
1;72171;7461;59134;33313;72188;64103;86312;51545;56121;64695;88183;2020-05-31;2020-05-30;2020-05-31T16:52:45;2020-05-31T06:50:23;LIVRE;1
2;99089;77779;80130;55499;11157;7899;76713;91815;80299;11653;44767;2020-05-31;2020-05-31;2020-05-31T11:28:56;2020-05-31T02:54:01;VALIDE;2
3;72308;45428;21599;31549;84252;60643;79485;72116;87694;50563;38714;2020-05-31;2020-05-31;2020-05-31T03:41:12;2020-05-31T06:37:07;ENTREESTOCT;3
4;98452;32177;40730;55601;33860;61006;92059;89515;57512;8255;64454;2020-05-31;2020-05-30;2020-05-31T00:09:30;2020-05-31T06:55:32;ENATTENTE;4
5;18738;58093;61697;2807;60964;80328;32708;67912;89448;97246;90566;2020-05-31;2020-05-30;2020-05-31T16:47:35;2020-05-31T12:25:04;DESACTIVE;5
6;33897;4959;32935;45501;84991;50137;28370;79840;23851;3827;64680;2020-05-31;2020-05-31;2020-05-31T10:53:36;2020-05-31T01:53:44;ENATTENTE;6
7;78823;41450;38469;48292;74506;20453;50514;86170;73739;64047;86291;2020-05-31;2020-05-31;2020-05-31T16:01:02;2020-05-30T22:46:02;DESACTIVE;7
8;68923;25570;33310;18691;28441;1713;43865;88750;51608;53384;12982;2020-05-31;2020-05-31;2020-05-30T23:20:38;2020-05-31T05:12:40;STOCK;8
9;23755;25308;43239;93601;73427;75658;87068;59695;76807;77808;92903;2020-05-31;2020-05-31;2020-05-31T12:30:50;2020-05-31T03:23:02;SUPPRIME;9
10;71338;78656;40855;60752;29204;17460;83051;30399;68776;68125;26335;2020-05-30;2020-05-31;2020-05-30T18:31:56;2020-05-30T18:19:06;DESACTIVE;10
