id;created_at;updated_at;encours;version;plafond_journalier;plafond_mensuel;consommation;conso_journaliere;taux;num_maticule;enbale;categorie;status;absolute;type_client;client_id
1;2020-05-31T04:40:30;2020-05-31T14:46:42;76697;75247;58891;54426;57816;52847;69451;Outdoors Aruba;true;RC1;PASSE;false;STANDARD;1
2;2020-05-31T07:28:36;2020-05-31T08:17:45;3640;39757;87251;88859;54563;38724;34742;generating enable Fresh;false;RC3;STOCK;true;ASSURANCE;2
3;2020-05-31T13:43:26;2020-05-30T19:00:26;20021;77761;17784;2542;65455;49836;65857;open-source Sausages Boliviano Mvdol;false;RC2;SUPPRIME;false;ASSURANCE;3
4;2020-05-30T18:44:59;2020-05-31T14:50:20;57926;64751;92241;97729;61012;21248;60258;interfaces;false;RO;ENTRAITEMENT;false;ASSURANCE;4
5;2020-05-31T03:31:53;2020-05-31T07:15:12;50402;71755;67173;65149;48798;59842;16087;RSS;true;RC3;ENATTENTE;true;ASSURANCE;5
6;2020-05-30T18:24:19;2020-05-31T17:44:15;70271;29873;27172;82975;16734;28301;46894;Brunei Dollar;true;RC1;ACTIVE;false;CARNET;6
7;2020-05-31T07:34:58;2020-05-31T03:25:44;75361;61298;33483;78373;19645;82829;88870;payment;false;RO;ENATTENTE;false;CARNET;7
8;2020-05-30T22:27:22;2020-05-31T17:22:01;84049;76916;9063;67182;29981;95754;34998;programming Rest;true;RC2;LIVRE;false;CARNET;8
9;2020-05-30T20:35:43;2020-05-31T12:28:20;40365;37015;16935;39048;72937;77860;6460;Internal Steel;false;RC2;ENTRAITEMENT;true;STANDARD;9
10;2020-05-31T16:45:55;2020-05-31T13:51:01;59400;46028;17884;4556;65994;87063;29320;analyzing Avon;true;RC2;VALIDE;false;STANDARD;10
