id;qte_init;qte_finale;qte_ajuste;created_at;updated_at;produit_id
1;94754;16776;54334;2020-05-31T03:15:46;2020-05-31T07:52:10;1
2;2391;76053;53737;2020-05-31T14:31:51;2020-05-31T03:17:38;2
3;59582;58849;35553;2020-05-30T20:50:14;2020-05-30T20:21:02;3
4;90118;65838;65998;2020-05-31T04:54:08;2020-05-31T03:14:14;4
5;50089;82338;4134;2020-05-31T08:12:31;2020-05-30T23:25:01;5
6;38344;13252;85353;2020-05-31T12:01:30;2020-05-30T18:28:12;6
7;44746;40871;94075;2020-05-30T18:22:51;2020-05-30T21:04:00;7
8;7354;29115;47763;2020-05-31T04:00:58;2020-05-31T16:48:54;8
9;16717;54442;52252;2020-05-31T09:35:54;2020-05-30T19:17:07;9
10;41955;79042;97059;2020-05-31T11:27:22;2020-05-31T13:01:56;10
