id;qty;qty_init;created_at;updated_at;is_updated;taux;stock_produit_id
1;66680;80526;2020-05-31T14:21:21;2020-05-30T21:18:16;false;76346;1
2;88070;11833;2020-05-30T23:53:10;2020-05-31T10:23:24;true;3404;2
3;25945;81951;2020-05-31T02:25:04;2020-05-31T05:07:46;true;84016;3
4;29705;99886;2020-05-30T19:47:57;2020-05-31T03:24:28;false;74050;4
5;88657;88544;2020-05-31T08:22:04;2020-05-31T04:58:08;true;96802;5
6;91781;2838;2020-05-31T13:47:05;2020-05-30T21:57:37;false;7282;6
7;75846;79648;2020-05-31T11:15:57;2020-05-31T16:55:29;false;12081;7
8;24628;4818;2020-05-31T05:12:42;2020-05-31T09:15:05;false;70962;8
9;64306;15669;2020-05-31T11:13:56;2020-05-30T23:12:56;true;57330;9
10;24035;51107;2020-05-31T13:58:01;2020-05-30T23:28:22;false;93832;10
