id;code;libelle;status
1;orchestrate Unbranded Plastic Bike Soft;Buckinghamshire Nepalese Rupee;VALIDE
2;Loop;Norwegian Krone Credit Card Account Handcrafted Concrete Computer;SUGGESTION
3;Lead;hack mobile enhance;DESACTIVE
4;vertical;Path;PASSE
5;North Dakota;Multi-channelled salmon;LIVRE
6;Clothing Legacy;programming Hat Liechtenstein;SUGGESTION
7;black Clothing;holistic Congo actuating;SUPPRIME
8;white;Triple-buffered best-of-breed Coordinator;SUPPRIME
9;SAS;Ports Utah optimize;ENTRAITEMENT
10;Fantastic Pizza;paradigms;PASSE
