id;created_at;updated_at;code;code_groupe;status;date_debut;date_fin;montant_forfetaire;montant_remise;montant_paye;montant_restant;montant_net;statut_facture;type_facture;montant_brut;template;tierpayant_id
1;2020-05-31T05:00:00;2020-05-31T09:18:10;robust proactive;SQL Health;ACTIVE;2020-05-31;2020-05-30;86369;29076;37191;36551;85256;UNPAID;INDIVIDUEL;75517;true;1
2;2020-05-31T00:05:43;2020-05-31T03:41:58;Creative;deposit Strategist;ENATTENTE;2020-05-31;2020-05-31;9305;78369;89784;70157;13087;PAID;GROUPE;69269;false;2
3;2020-05-31T17:34:24;2020-05-31T17:35:08;Berkshire Checking Account;Generic Soft Keyboard hard drive;ACTIVE;2020-05-31;2020-05-31;88700;23692;19525;28218;29848;PAID;GROUPE;80138;true;3
4;2020-05-31T00:37:40;2020-05-30T20:29:44;Legacy payment;synthesize;VALIDE;2020-05-31;2020-05-31;86421;31540;95959;88647;22706;HALFPAID;GROUPE;1560;false;4
5;2020-05-31T05:39:49;2020-05-30T22:18:44;Synergized;program Latvian Lats Internal;ACTIVE;2020-05-31;2020-05-30;84094;33620;51150;72497;68634;PAID;GROUPE;39583;true;5
6;2020-05-31T12:46:43;2020-05-30T18:53:57;Clothing Concrete;Usability Personal Loan Account;SUPPRIME;2020-05-31;2020-05-31;40524;57840;2358;66397;2099;HALFPAID;GROUPE;34373;true;6
7;2020-05-31T07:01:20;2020-05-30T20:41:39;support Chile card;Applications value-added;ACTIVE;2020-05-31;2020-05-31;63202;34583;78357;96672;46866;PAID;INDIVIDUEL;58714;true;7
8;2020-05-31T01:39:12;2020-05-31T13:42:44;deposit Arkansas;circuit Oklahoma;NON_LIVRE;2020-05-30;2020-05-31;64866;32201;60460;59808;12728;HALFPAID;GROUPE;20888;true;8
9;2020-05-31T13:44:06;2020-05-31T08:46:21;Parks;Washington;SUPPRIME;2020-05-31;2020-05-31;88004;12187;86687;30710;71458;UNPAID;INDIVIDUEL;81502;true;9
10;2020-05-31T13:47:45;2020-05-31T12:37:49;transmitting;Beauty Rubber Cove;NON_LIVRE;2020-05-31;2020-05-31;41354;54737;90215;49725;26333;HALFPAID;GROUPE;94214;true;10
