id;created_at;updated_at;montant_remise;montant_paye;statut_facture;montant_restant;montant_net;montant_brut
1;2020-05-31T11:57:15;2020-05-31T03:49:06;66426;81764;HALFPAID;10339;82575;85702
2;2020-05-31T02:35:55;2020-05-31T13:23:35;75297;15019;UNPAID;50447;66782;23949
3;2020-05-31T15:44:32;2020-05-31T16:43:14;65797;38440;PAID;62961;60751;183
4;2020-05-30T21:06:29;2020-05-30T18:21:46;72258;51494;HALFPAID;53035;66740;43139
5;2020-05-31T10:56:58;2020-05-31T01:25:03;47558;63359;PAID;65569;13596;2332
6;2020-05-30T20:16:58;2020-05-31T09:17:45;18624;10541;PAID;2599;7453;36499
7;2020-05-31T02:50:23;2020-05-31T13:32:10;75008;29255;PAID;82671;43526;72011
8;2020-05-31T15:33:01;2020-05-31T01:09:43;62720;30876;UNPAID;93070;89579;32831
9;2020-05-31T14:16:17;2020-05-31T03:33:25;31101;96069;HALFPAID;94372;3345;16072
10;2020-05-31T09:17:16;2020-05-30T22:46:24;89882;43876;UNPAID;5943;75383;14720
