id;code;libelle;status
1;1080p product Inlet;applications Jamaica solutions;PERIME
2;e-services transition;Jewelery;DESACTIVE
3;Chief Prairie SCSI;Licensed;DESACTIVE
4;Czech Republic;Planner Movies Future;ENTREESTOCT
5;driver Unbranded Wooden Computer;primary Metrics Technician;PERIME
6;Research incentivize Indiana;e-commerce;PASSE
7;Auto Loan Account payment;virtual end-to-end Belarussian Ruble;SUGGESTION
8;Money Market Account;function;VALIDE
9;integrate distributed;Metal;ENTRAITEMENT
10;plum;solution-oriented quantify;STOCK
