id;code;libelle;status
1;Computers;virtual quantifying web services;ACTIVE
2;Music Small;optical neural virtual;ENATTENTE
3;Group;View Research;PERIME
4;local;optimal port Denmark;ACTIVE
5;B2C;Bedfordshire;SUGGESTION
6;Jewelery Lesotho Specialist;SDD cultivate parsing;ENATTENTE
7;open system;Agent;ENTRAITEMENT
8;policy;context-sensitive deliverables;SUGGESTION
9;Fiji Dollar;Ergonomic Concrete Sausages bandwidth enterprise;ENTRAITEMENT
10;Handcrafted Credit Card Account;Singapore Dollar International Won;DESACTIVE
