id;code_cip;prix_achat;prix_uni;created_at;updated_at;principal;produit_id;fournisseur_id
1;Outdoors;55827;1942;2020-12-29T19:12:40;2020-12-29T05:47:38;true;1;1
2;Credit Card Account portals;26204;86088;2020-12-28T23:19:40;2020-12-29T02:58:25;true;2;2
3;Borders Vanuatu;12384;80232;2020-12-29T01:50:28;2020-12-29T11:36:38;false;3;3
4;overriding;3396;44574;2020-12-29T00:21:13;2020-12-29T15:30:43;true;4;4
5;synthesize;56860;1091;2020-12-28T22:57:49;2020-12-29T08:22:12;false;5;5
6;Taiwan hard drive;42767;43702;2020-12-29T17:44:42;2020-12-28T21:37:38;true;6;6
7;Health;36380;20977;2020-12-29T02:33:57;2020-12-29T01:15:17;false;7;7
8;Motorway HTTP Buckinghamshire;30824;84196;2020-12-29T04:36:54;2020-12-29T04:19:39;false;8;8
9;transition Bedfordshire Delaware;24678;29471;2020-12-29T11:08:24;2020-12-29T06:20:00;false;9;9
10;Reduced Comoro Franc web-enabled;80755;62154;2020-12-29T12:59:35;2020-12-29T10:01:35;false;10;10
