id;code;libelle;phone;address
1;AGP IB;content Credit Card Account;280-965-6972 x29395;Berkshire
2;Assistant models Identity;Brunei Dollar coherent;189.382.1514;Accounts Versatile sky blue
3;Borders;Corporate Michigan;1-070-938-0120 x121;Intelligent Handcrafted Frozen Chips expedite
4;quantifying Assistant;virtual tan;409.276.9905;logistical magenta
5;Ergonomic Granite Chips turquoise Bike;protocol;489.967.2788 x1698;Ergonomic Branding
6;Yen Hawaii Car;benchmark;(555) 553-5092 x815;Director Chicken Chair
7;Investment Account;Poland;364.002.2414 x26208;methodology array invoice
8;Money Market Account;Cayman Islands Outdoors generate;755-320-8248 x80706;initiatives panel deposit
9;cyan;Small Granite Chips Handcrafted Rubber Table;080-107-8146;impactful Frozen red
10;pricing structure;Seychelles CSS vertical;138.201.8147 x2826;Alaska
