id;libelle;created_at;updated_at;status;programmable;date_debut;date_fin;end_date;beginnin;ending;valeur_achat_avant;valeur_achat_apres;valeur_vente_avant;valeur_vente_apres
1;infomediaries;2020-05-31T05:08:39;2020-05-31T15:40:11;PASSE;true;2020-05-30;2020-05-31;2020-05-31;2020-05-31T16:33:13;2020-05-30T22:55:17;68641;94244;12251;5417
2;card Guatemala;2020-05-30T18:10:28;2020-05-31T00:26:43;NON_LIVRE;true;2020-05-31;2020-05-30;2020-05-31;2020-05-31T14:10:34;2020-05-31T17:21:09;88055;40196;51448;92572
3;parse sky blue;2020-05-31T14:03:35;2020-05-30T18:19:22;ENTRAITEMENT;false;2020-05-31;2020-05-31;2020-05-31;2020-05-31T08:11:10;2020-05-31T15:11:51;7905;23472;24415;99980
4;Intuitive Clothing yellow;2020-05-31T10:16:49;2020-05-31T09:43:44;SUPPRIME;false;2020-05-31;2020-05-31;2020-05-31;2020-05-31T14:50:17;2020-05-31T06:23:29;28119;59156;65333;84307
5;Dynamic Berkshire Alabama;2020-05-31T16:51:55;2020-05-31T02:20:03;NON_LIVRE;false;2020-05-30;2020-05-31;2020-05-30;2020-05-31T01:19:06;2020-05-31T06:48:40;89255;66933;67509;30542
6;Avon Ergonomic Fresh Pants Computers;2020-05-31T10:31:10;2020-05-31T13:03:43;SUGGESTION;true;2020-05-30;2020-05-30;2020-05-31;2020-05-31T14:37:44;2020-05-31T10:39:46;78281;61739;91999;85045
7;virtual array Oregon;2020-05-31T12:33:21;2020-05-30T22:07:01;ENTREESTOCT;true;2020-05-31;2020-05-31;2020-05-31;2020-05-31T10:56:35;2020-05-30T19:21:19;77078;75063;91434;60307
8;PCI bus;2020-05-31T03:29:51;2020-05-30T23:51:26;SUGGESTION;true;2020-05-31;2020-05-31;2020-05-31;2020-05-30T22:57:44;2020-05-31T13:58:47;64407;81318;99887;83090
9;Ergonomic Rubber Shoes;2020-05-31T15:36:57;2020-05-30T22:34:25;PERIME;false;2020-05-31;2020-05-30;2020-05-31;2020-05-31T00:08:15;2020-05-30T21:43:46;68661;32066;63426;53358
10;Maine;2020-05-31T04:34:46;2020-05-31T05:45:10;ENTREESTOCT;false;2020-05-31;2020-05-31;2020-05-31;2020-05-30T21:02:25;2020-05-31T04:25:44;86843;64131;8403;28212
