id;montant;qty;qty_servi;prix_uni;prix_paf;montantremise;montant_tva;valeur_tva;montant_net;status;created_at;updated_at;checked;produit_stock_id
1;59016;31342;30543;7385;55706;98357;48683;97554;6589;PASSE;2020-05-31T00:14:03;2020-05-31T12:25:41;false;1
2;13055;98409;33892;68465;66418;61377;30870;14474;42311;PERIME;2020-05-30T19:19:30;2020-05-31T05:09:23;false;2
3;36588;6834;91645;15536;23305;44242;66948;35567;59832;ENTRAITEMENT;2020-05-31T11:20:41;2020-05-30T19:18:32;true;3
4;57930;78066;20148;58313;78469;76199;88739;80673;72275;DESACTIVE;2020-05-31T01:30:03;2020-05-31T16:04:51;true;4
5;50240;60186;97832;30700;71467;36225;11725;73493;6021;DESACTIVE;2020-05-31T07:38:11;2020-05-31T12:03:13;true;5
6;13801;63951;34575;77493;9935;81451;48535;9765;71169;ENATTENTE;2020-05-31T03:02:50;2020-05-30T19:20:06;true;6
7;43896;30109;85915;44185;98667;3527;44582;47184;37994;ENATTENTE;2020-05-31T04:10:54;2020-05-31T01:59:10;false;7
8;43871;29715;85378;89179;28902;42026;69371;15858;41676;ENTRAITEMENT;2020-05-31T07:01:11;2020-05-31T02:28:14;true;8
9;39208;63047;95994;69947;44058;43929;63387;91987;46148;SUGGESTION;2020-05-31T15:27:50;2020-05-31T13:49:09;false;9
10;27957;55913;4015;71103;10932;76470;58213;34145;15608;SUPPRIME;2020-05-31T15:04:03;2020-05-31T13:34:30;true;10
