id;montant;ref_bon;taux;montant_reste;statut_facture;created_at;updated_at
1;95176;Canadian Dollar port;96213;34665;UNPAID;2020-05-31T10:41:55;2020-05-31T03:13:13
2;29440;USB Indian Rupee Aruban Guilder;31754;22884;UNPAID;2020-05-31T16:39:59;2020-05-31T08:33:18
3;97375;client-driven Incredible Fresh Chair program;85213;40633;PAID;2020-05-31T10:59:56;2020-05-31T00:07:21
4;25383;withdrawal;95707;51657;PAID;2020-05-30T20:46:05;2020-05-30T19:04:49
5;79065;synthesizing;34532;28070;UNPAID;2020-05-31T06:52:43;2020-05-31T03:14:14
6;93111;Engineer;19921;32552;HALFPAID;2020-05-31T08:43:54;2020-05-30T22:00:02
7;52389;bypass demand-driven Mississippi;72721;95749;PAID;2020-05-31T15:25:27;2020-05-31T17:34:56
8;7484;open-source AI;44870;27240;UNPAID;2020-05-31T15:54:04;2020-05-30T23:02:10
9;29179;e-business alarm;52431;25807;HALFPAID;2020-05-31T11:32:14;2020-05-31T07:06:21
10;8596;access;32677;18138;PAID;2020-05-31T08:45:44;2020-05-31T10:06:41
