id;created_at;updated_at;qte;qt_ug;num;date_fabrication;peremption;peremptionstatus
1;2020-05-30T23:50:07;2020-05-30T23:17:42;84618;75177;Computers;2020-05-30;2020-05-30;PERIME
2;2020-05-31T15:38:12;2020-05-31T14:30:36;39545;49073;SCSI haptic incubate;2020-05-31;2020-05-30;ENCOURS
3;2020-05-31T15:42:57;2020-05-31T03:04:10;45717;57729;PNG;2020-05-31;2020-05-31;ENCOURS
4;2020-05-31T17:37:24;2020-05-31T08:31:22;82832;48669;Books capacitor;2020-05-30;2020-05-31;ENCOURS
5;2020-05-30T17:50:54;2020-05-31T06:05:19;12326;18950;redundant Auto Loan Account;2020-05-31;2020-05-31;ENCOURS
6;2020-05-31T08:12:54;2020-05-30T23:40:23;10356;33234;Quality;2020-05-31;2020-05-30;PERIME
7;2020-05-31T09:04:16;2020-05-31T14:53:37;72009;6262;panel synthesizing;2020-05-31;2020-05-31;PERIME
8;2020-05-30T19:58:38;2020-05-31T01:20:49;42451;86215;hacking;2020-05-30;2020-05-31;ENCOURS
9;2020-05-31T04:43:00;2020-05-30T23:39:59;89750;82128;Republic of Korea;2020-05-30;2020-05-31;PERIME
10;2020-05-30T22:54:21;2020-05-31T06:44:05;62188;28356;Auto Loan Account Computers;2020-05-30;2020-05-31;ENCOURS
