id;mvt_date;created_at;checked;qte_debut;qte_finale;prix_paf;prix_uni;valeur_tva;montant_tva;pkey;produit_id
1;2020-05-31;2020-05-31T14:02:18;false;35421;86614;33496;97687;28056;49548;system;1
2;2020-05-31;2020-05-31T01:44:05;true;41698;82528;90715;43685;6027;26468;Technician;2
3;2020-05-31;2020-05-31T13:15:11;true;75699;12314;38644;403;65310;20870;deposit Unbranded Licensed;3
4;2020-05-31;2020-05-31T02:52:21;true;96723;24079;83714;34298;47790;2538;24/365 monitor;4
5;2020-05-31;2020-05-31T12:27:24;true;38574;87424;1992;32323;46259;54942;multimedia Portugal Handcrafted;5
6;2020-05-31;2020-05-31T04:10:49;false;3967;29445;84118;80291;99973;12452;turquoise violet;6
7;2020-05-30;2020-05-31T02:13:55;false;50129;49796;2404;87326;4373;79342;Small Granite Car;7
8;2020-05-31;2020-05-30T18:04:32;false;97225;97313;41184;84521;91197;27100;bypass Group;8
9;2020-05-31;2020-05-31T06:54:17;true;74685;50084;72952;767;6228;95416;Streets Outdoors;9
10;2020-05-31;2020-05-30T18:14:50;false;628;65845;1443;92042;4122;76791;Regional connecting Equatorial Guinea;10
