id;code_ref;pkey;created_at;updated_at;montant_attendu;montant_regl;montant_restant
1;Shoes Kentucky;Agent;2020-05-31T07:38:25;2020-05-31T02:24:06;47995;31032;85397
2;toolset;Colorado;2020-05-30T22:08:45;2020-05-30T21:07:01;46633;29578;16952
3;concept dedicated;firmware parse grow;2020-05-31T06:00:06;2020-05-31T10:09:30;18421;75573;71997
4;optical efficient;back-end Buckinghamshire;2020-05-30T20:38:52;2020-05-31T16:56:51;43686;76629;11911
5;Gloves;Ville;2020-05-31T08:38:22;2020-05-31T16:35:30;34000;34209;87098
6;Mauritania;program Branch;2020-05-31T07:49:38;2020-05-30T19:43:54;20126;41851;53593
7;PNG Rustic Cotton Soap;Sausages;2020-05-31T01:42:37;2020-05-31T03:00:41;31778;82213;25614
8;Street Maine;Small Granite Keyboard Incredible Shoes;2020-05-31T04:50:43;2020-05-31T01:33:29;61316;84747;83449
9;Consultant;Liaison;2020-05-31T07:18:14;2020-05-31T07:59:42;39537;67424;850
10;Cove Quality;overriding;2020-05-31T00:12:09;2020-05-31T02:55:09;13561;51330;80123
