id;description;answered;status;created_at;updated_at;mvt_date
1;Plastic toolset;true;CONFIRME;2020-05-31T11:52:55;2020-05-31T13:30:25;2020-05-31
2;calculating integrated Clothing;false;CONFIRME;2020-05-31T15:01:11;2020-05-30T21:15:05;2020-05-31
3;Meadows;false;NONCOMFIRME;2020-05-31T06:42:36;2020-05-31T01:19:14;2020-05-31
4;haptic protocol;true;NONCOMFIRME;2020-05-31T07:30:06;2020-05-31T14:13:50;2020-05-31
5;Identity;true;NONCOMFIRME;2020-05-31T02:30:47;2020-05-30T20:57:27;2020-05-31
6;Avon;true;CONFIRME;2020-05-31T14:34:16;2020-05-31T11:44:46;2020-05-31
7;Money Market Account Mobility Burundi;false;CONFIRME;2020-05-30T18:35:31;2020-05-31T15:26:46;2020-05-30
8;visionary Alaska;true;CONFIRME;2020-05-31T06:05:07;2020-05-31T01:46:53;2020-05-31
9;Forward input Plains;true;NONCOMFIRME;2020-05-30T21:45:37;2020-05-31T00:53:58;2020-05-30
10;real-time orchestrate;true;NONCOMFIRME;2020-05-30T20:13:32;2020-05-31T12:14:53;2020-05-31
