id;qte_confirme;updated_at;created_at;qte_retourne
1;77483;2020-05-31T16:54:21;2020-05-31T11:52:23;38258
2;70567;2020-05-31T16:58:59;2020-05-31T15:55:03;59702
3;35989;2020-05-31T09:20:24;2020-05-31T07:13:55;41076
4;91834;2020-05-31T13:53:47;2020-05-31T05:00:34;3649
5;7161;2020-05-31T17:25:30;2020-05-31T12:25:52;97954
6;5706;2020-05-31T08:22:01;2020-05-31T12:14:58;50121
7;41306;2020-05-31T04:05:08;2020-05-31T15:04:44;54786
8;61121;2020-05-31T13:44:58;2020-05-31T05:09:26;67440
9;47991;2020-05-30T20:57:44;2020-05-31T08:34:05;73316
10;39552;2020-05-30T23:38:52;2020-05-31T10:58:42;96031
