id;code;libelle;status;typerisque_id
1;Investor;Generic Wooden Hat;ENTRAITEMENT;1
2;Seamless Somoni Division;Fish Unbranded Plastic Car digital;LIVRE;2
3;indexing North Carolina plum;Cheese;PASSE;3
4;Metal hack azure;Coordinator Shirt;NON_LIVRE;4
5;engage THX;withdrawal Money Market Account channels;NON_LIVRE;5
6;Tasty Investment Account protocol;alliance;ENATTENTE;6
7;Small;Rwanda;SUPPRIME;7
8;Expanded Research Riel;Technician;PERIME;8
9;Administrator Table;Somali Shilling Versatile Automotive;ENTRAITEMENT;9
10;olive projection Markets;Pizza drive turquoise;ENTRAITEMENT;10
