id;name;jhi_desc;enable
1;reboot clicks-and-mortar;Berkshire Clothing;false
2;UIC-Franc grey;azure Health Supervisor;false
3;HTTP;Colombian Peso Unidad de Valor Real Corporate innovate;true
4;microchip;Holy See (Vatican City State) Frozen;false
5;SAS;Investment Account PNG Portugal;true
6;North Carolina Bedfordshire Regional;synthesizing copy;true
7;frame 24/7 olive;Chief Intelligent Factors;false
8;Peru backing up;Borders Tools invoice;false
9;Borders Towels connecting;productize Libyan Dinar Handcrafted Granite Pizza;true
10;invoice;Practical Granite Salad Corporate Track;false
