id;qty_stock;qty_virtual;qty_ug;created_at;updated_at;rayon_id;produit_id
1;71066;32747;6623;2020-05-30T19:14:01;2020-05-30T19:25:31;1;1
2;28073;91403;95280;2020-05-31T12:46:04;2020-05-31T08:57:53;2;2
3;21723;65775;40788;2020-05-31T09:13:23;2020-05-31T05:32:55;3;3
4;50326;43593;26672;2020-05-31T08:34:51;2020-05-30T17:48:07;4;4
5;65479;52699;60795;2020-05-31T12:57:48;2020-05-31T13:03:43;5;5
6;60346;24986;53347;2020-05-31T16:02:16;2020-05-31T15:22:05;6;6
7;41831;20612;46057;2020-05-31T16:38:12;2020-05-30T22:14:19;7;7
8;65805;88849;50075;2020-05-31T02:13:42;2020-05-31T06:10:08;8;8
9;19704;29681;54516;2020-05-30T23:29:11;2020-05-30T19:43:15;9;9
10;74535;54501;6856;2020-05-31T11:20:57;2020-05-31T12:27:52;10;10
