id;libelle;code;categorie;status
1;Intelligent;Customizable Cambridgeshire;FOND;ENTREESTOCT
2;Sudan Checking Account;Garden Applications transmitting;SORTIE;PERIME
3;ivory quantify evolve;Common Expanded Personal Loan Account;SORTIE;SUPPRIME
4;Refined Wooden Hat bypass Dynamic;purple Integration Sports;ENTREE;ACTIVE
5;emulation 24/365;Buckinghamshire Small Frozen Towels;FOND;LIVRE
6;Re-engineered;Bedfordshire;SORTIE;NON_LIVRE
7;Dong;Innovative Toys synergize;SORTIE;ENTRAITEMENT
8;Dalasi Practical Rubber Chips;JSON Liaison;SORTIE;SUPPRIME
9;static navigate Clothing;Savings Account Ergonomic Parkway;FOND;VALIDE
10;Baby Berkshire zero defect;cultivate;SORTIE;PASSE
