id;code;libelle;status
1;Frozen;Internal;ENATTENTE
2;Frozen distributed 1080p;Louisiana;LIVRE
3;client-driven deposit;Dominica Developer Nigeria;ENATTENTE
4;back-end;Ball;SUGGESTION
5;Expanded Cotton Compatible;Tunisia web-enabled;SUGGESTION
6;Gloves Car;Savings Account Berkshire Tasty Frozen Soap;VALIDE
7;Global grey;Borders Rubber;DESACTIVE
8;Balanced impactful Toys;seamless quantify;SUPPRIME
9;invoice bandwidth;Customer-focused Macedonia;DESACTIVE
10;Russian Ruble Intranet Frozen;Devolved Gloves;NON_LIVRE
