id;created_at;updated_at;status;nature_vente;type_vente;ref_vente;num_ticket;tauxremise;montant_vente;montant_tva;montant_net;montan_remise;valeur_marge;avoir;montant_paye;montant_restant;montant_tp;montant_client;montant_verse;montant_rendu;ref_bon;avoid_amount;cost_amount;mode_paiement_id
1;2020-05-31T08:08:19;2020-05-30T21:51:22;DESACTIVE;VNO;VO;invoice;Mississippi;2695;33635;87581;57838;64117;91345;false;88025;37506;70924;97049;42961;68830;Cheese Berkshire Uruguay;33342;10587;1
2;2020-05-31T02:25:11;2020-05-30T19:28:12;DESACTIVE;DEPOT;VO;mobile;Buckinghamshire;88172;84714;83766;93326;24297;95731;false;94615;53862;53984;46179;90087;26174;bandwidth;17005;72570;2
3;2020-05-31T01:48:57;2020-05-30T21:49:20;NON_LIVRE;DEPOT;VO;European Monetary Unit (E.M.U.-6) optimize holistic;support solid state;95098;24983;86864;80664;7422;9206;false;25692;56425;54600;47811;40968;26488;plum;25881;34914;3
4;2020-05-31T15:44:47;2020-05-31T11:33:40;PERIME;VO;VNO;Forward Loaf;Solutions EXE Applications;31599;27744;38401;51193;21524;55062;true;30397;77541;57483;66987;30563;19162;Dynamic Buckinghamshire;22137;38045;4
5;2020-05-31T02:20:58;2020-05-31T07:27:25;SUGGESTION;VO;VO;Ameliorated Global Towels;cross-platform bottom-line;53325;40291;25584;98164;92533;8708;false;6539;97835;98901;47030;68693;78161;Intelligent copying initiatives;26221;96933;5
6;2020-05-30T18:23:45;2020-05-31T08:36:44;SUPPRIME;DEPOT;VO;Bedfordshire sexy;system Hat Dynamic;23712;77223;68524;19675;54173;29085;true;50270;6592;99018;9666;46668;49595;Tajikistan;85102;67754;6
7;2020-05-31T07:13:23;2020-05-31T01:32:44;ACTIVE;DEPOT;VNO;quantifying deploy web-readiness;invoice Shoes;42036;54869;26055;62000;13246;48574;false;28959;14965;3754;54990;44351;63131;Licensed Personal Loan Account;88296;18068;7
8;2020-05-31T09:39:54;2020-05-31T02:55:31;NON_LIVRE;VNO;VNO;Enhanced SQL Manager;Plaza SMS program;85624;58490;71485;83663;64663;9082;false;10887;52408;4662;32900;86323;20420;maroon database;58153;28421;8
9;2020-05-31T09:27:45;2020-05-31T16:18:00;ENTREESTOCT;DEPOT;VNO;integrate;Cotton;97897;90738;91040;51063;75743;27869;true;71121;67859;63739;97858;48782;94950;payment;95073;12472;9
10;2020-05-30T18:58:21;2020-05-31T10:36:31;SUGGESTION;VO;VO;bluetooth;Legacy;69379;20038;42869;1624;80874;44406;true;56424;31903;21227;97722;93655;2399;channels Buckinghamshire;70574;36361;10
